,file,speaker,label,file_index,audio_length
0,0.wav,Alec Guinness,spoof,0,1.82
1,1.wav,Alec Guinness,spoof,1,11.1
2,2.wav,Barack Obama,spoof,2,8.1
3,3.wav,Alec Guinness,spoof,3,10.43
4,4.wav,Christopher Hitchens,bona-fide,4,0.99
5,5.wav,Ayn Rand,bona-fide,5,3.96
6,6.wav,Barack Obama,spoof,6,4.62
7,7.wav,Donald Trump,bona-fide,7,2.19
8,8.wav,Donald Trump,bona-fide,8,5.15
9,9.wav,Alec Guinness,bona-fide,9,7.94
10,10.wav,Bernie Sanders,spoof,10,8.3
11,11.wav,Christopher Hitchens,bona-fide,11,4.14
12,12.wav,Calvin Coolidge,bona-fide,12,3.9
13,13.wav,Alec Guinness,spoof,13,1.91
14,14.wav,Barack Obama,bona-fide,14,1.6
15,15.wav,Bernie Sanders,spoof,15,6.71
16,16.wav,Winston Churchill,spoof,16,3.14
17,17.wav,Winston Churchill,spoof,17,3.12
18,18.wav,Donald Trump,bona-fide,18,1.74
19,19.wav,Bob Ross,spoof,19,7.58
20,20.wav,Donald Trump,bona-fide,20,1.52
21,21.wav,Richard Nixon,spoof,21,7.3
22,22.wav,2Pac,bona-fide,22,2.35
23,23.wav,Donald Trump,bona-fide,23,1.56
24,24.wav,Ronald Reagan,spoof,24,2.41
25,25.wav,Ayn Rand,spoof,25,14.07
26,26.wav,JFK,bona-fide,26,3.39
27,27.wav,Arnold Schwarzenegger,bona-fide,27,2.01
28,28.wav,Nick Offerman,bona-fide,28,1.12
29,29.wav,Bill Clinton,bona-fide,29,3.33
30,30.wav,Martin Luther King,bona-fide,30,1.38
31,31.wav,Bill Burr,spoof,31,14.64
32,32.wav,Ronald Reagan,spoof,32,5.25
33,33.wav,Bill Clinton,bona-fide,33,4.5
34,34.wav,Alec Guinness,spoof,34,5.23
35,35.wav,Ayn Rand,spoof,35,5.8
36,36.wav,Christopher Hitchens,bona-fide,36,1.93
37,37.wav,Ronald Reagan,bona-fide,37,3.04
38,38.wav,Barack Obama,bona-fide,38,1.51
39,39.wav,Christopher Hitchens,bona-fide,39,1.05
40,40.wav,Christopher Hitchens,spoof,40,1.34
41,41.wav,Donald Trump,spoof,41,4.64
42,42.wav,Bernie Sanders,spoof,42,2.86
43,43.wav,Ayn Rand,spoof,43,3.14
44,44.wav,Bernie Sanders,bona-fide,44,4.03
45,45.wav,Mark Zuckerberg,bona-fide,45,13.75
46,46.wav,Alec Guinness,bona-fide,46,4.57
47,47.wav,Alec Guinness,spoof,47,5.97
48,48.wav,Richard Nixon,bona-fide,48,1.49
49,49.wav,Barack Obama,bona-fide,49,3.77
50,50.wav,George W. Bush,spoof,50,2.3
51,51.wav,Dave Chappelle,bona-fide,51,2.95
52,52.wav,Bernie Sanders,bona-fide,52,7.83
53,53.wav,Boris Johnson,bona-fide,53,1.48
54,54.wav,Martin Luther King,bona-fide,54,1.29
